Full sealed-sector lists (best variant = A and B, identical).
  (20,23) type=1 normal           Item= 264 addl=0
  (21,23) type=1 normal           Item= 265 addl=0
  (22,23) type=1 normal           Item= 266 addl=0
  (23,23) type=1 normal           Item= 267 addl=0
  (24,23) type=1 normal           Item=  -1 addl=0
  (25,23) type=1 normal           Item=  -1 addl=0
  (27,23) type=7 pillar           Item= 345 addl=0
  (28,23) type=1 normal           Item= 268 addl=0
  (29,23) type=7 pillar           Item=  41 addl=0
  ( 3,24) type=1 normal           Item= 269 addl=0
  ( 4,24) type=1 normal           Item= 110 addl=0
  ( 5,24) type=1 normal           Item=  -1 addl=0
  ( 6,24) type=1 normal           Item=  -1 addl=0
  ( 7,24) type=1 normal           Item=  -1 addl=0
  (12,24) type=1 normal           Item= 271 addl=0
  (13,24) type=1 normal           Item= 272 addl=0
  (15,24) type=1 normal           Item= 273 addl=0
  (17,24) type=7 pillar           Item=  24 addl=0
  (18,24) type=7 pillar           Item=  25 addl=0
  (19,24) type=7 pillar           Item=  48 addl=0
  (20,24) type=7 pillar           Item=  37 addl=0
  (23,24) type=1 normal           Item= 274 addl=0
  (25,24) type=1 normal           Item= 365 addl=0
  (28,24) type=1 normal           Item= 275 addl=0
  ( 5,25) type=7 pillar           Item=  79 addl=0
  ( 6,25) type=7 pillar           Item= 316 addl=0
  ( 7,25) type=7 pillar           Item=  80 addl=0
  (11,25) type=1 normal           Item= 277 addl=0
  (15,25) type=1 normal           Item=  -1 addl=0
  (23,25) type=1 normal           Item= 361 addl=0
  (25,25) type=1 normal           Item= 364 addl=0
  (28,25) type=1 normal           Item= 280 addl=0
  (29,25) type=1 normal           Item= 281 addl=0
  ( 9,26) type=1 normal           Item=  -1 addl=0
  (13,26) type=1 normal           Item= 282 addl=0
  (15,26) type=1 normal           Item= 283 addl=0
  (17,26) type=1 normal           Item= 107 addl=0
  (19,26) type=6 corpse           Item= 362 addl=9
  (21,26) type=1 normal           Item= 349 addl=0
  (29,26) type=1 normal           Item= 285 addl=0
  ( 6,27) type=1 normal           Item=  -1 addl=0
  ( 7,27) type=1 normal           Item= 346 addl=0
  ( 8,27) type=1 normal           Item= 286 addl=0
  ( 9,27) type=1 normal           Item= 287 addl=0
  (10,27) type=1 normal           Item= 288 addl=0
  (13,27) type=1 normal           Item=  -1 addl=0
  (15,27) type=1 normal           Item=  -1 addl=0
  (17,27) type=1 normal           Item= 289 addl=0
  (19,27) type=1 normal           Item= 348 addl=0
  (21,27) type=1 normal           Item=  -1 addl=0
  (24,27) type=7 pillar           Item=  28 addl=0
  (25,27) type=7 pillar           Item=  29 addl=0
  (26,27) type=7 pillar           Item= 312 addl=0
  (27,27) type=7 pillar           Item=  39 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  ( 6,28) type=1 normal           Item=  -1 addl=0
  ( 7,28) type=1 normal           Item=  -1 addl=0
  ( 8,28) type=1 normal           Item= 291 addl=0
  ( 9,28) type=1 normal           Item= 292 addl=0
  (10,28) type=1 normal           Item=  -1 addl=0
  (11,28) type=1 normal           Item= 294 addl=0
  (12,28) type=1 normal           Item=  -1 addl=0
  (13,28) type=1 normal           Item= 295 addl=0
  (14,28) type=1 normal           Item= 296 addl=0
  (15,28) type=1 normal           Item= 297 addl=0
  (16,28) type=1 normal           Item=  -1 addl=0
  (17,28) type=1 normal           Item= 298 addl=0
  (18,28) type=1 normal           Item= 299 addl=0
  (19,28) type=1 normal           Item=  -1 addl=0
  (20,28) type=1 normal           Item=  -1 addl=0
  (21,28) type=1 normal           Item= 300 addl=0
  (22,28) type=1 normal           Item=  -1 addl=0
  (23,28) type=1 normal           Item= 301 addl=0
  (24,28) type=1 normal           Item= 302 addl=0
  (25,28) type=1 normal           Item=  -1 addl=0
  (26,28) type=1 normal           Item= 313 addl=0
  (27,28) type=1 normal           Item=  -1 addl=0
  (28,28) type=1 normal           Item=  -1 addl=0
  (29,28) type=1 normal           Item=  -1 addl=0
  ( 6,29) type=7 pillar           Item=  35 addl=0
  ( 7,29) type=7 pillar           Item= 315 addl=0
  ( 8,29) type=7 pillar           Item=  34 addl=0
  ( 9,29) type=7 pillar           Item=  45 addl=0
  (10,29) type=7 pillar           Item=  33 addl=0
  (12,29) type=1 normal           Item=  -1 addl=0
  (14,29) type=1 normal           Item= 108 addl=0
  (16,29) type=1 normal           Item= 303 addl=0
  (18,29) type=1 normal           Item= 304 addl=0
  (20,29) type=1 normal           Item=  -1 addl=0
  (22,29) type=1 normal           Item= 105 addl=0
  (24,29) type=7 pillar           Item=  38 addl=0
  (25,29) type=7 pillar           Item=  31 addl=0
  (26,29) type=7 pillar           Item= 314 addl=0
  (27,29) type=7 pillar           Item=  50 addl=0
  (29,29) type=1 normal           Item= 305 addl=0
  (30,29) type=1 normal           Item=  -1 addl=0
  (14,30) type=1 normal           Item= 307 addl=0
  (16,30) type=1 normal           Item= 308 addl=0
  (18,30) type=1 normal           Item= 309 addl=0
  (20,30) type=1 normal           Item= 106 addl=0
  (22,30) type=1 normal           Item=  -1 addl=0
  (29,30) type=1 normal           Item=  -1 addl=0

=== L09 We Can See In The Dark… Can You?  sealed=402 ===
  ( 8, 1) type=1 normal           Item=  62 addl=0
  ( 9, 1) type=1 normal           Item=  63 addl=0
  (12, 1) type=1 normal           Item=  64 addl=0
  (13, 1) type=1 normal           Item=  65 addl=0
  (14, 1) type=1 normal           Item= 309 addl=0
  ( 4, 2) type=1 normal           Item= 331 addl=0
  ( 5, 2) type=1 normal           Item=  -1 addl=0
  ( 9, 2) type=1 normal           Item=  -1 addl=0
  (10, 2) type=1 normal           Item=  -1 addl=0
  (11, 2) type=1 normal           Item=  66 addl=0
  (12, 2) type=1 normal           Item=  67 addl=0
  (16, 2) type=1 normal           Item=  68 addl=0
  (17, 2) type=1 normal           Item= 325 addl=0
  (22, 2) type=1 normal           Item= 298 addl=0
  ( 4, 3) type=1 normal           Item=  -1 addl=0
  ( 5, 3) type=1 normal           Item= 310 addl=0
  ( 6, 3) type=1 normal           Item=  -1 addl=0
  ( 7, 3) type=1 normal           Item=  72 addl=0
  ( 9, 3) type=1 normal           Item=  -1 addl=0
  (12, 3) type=1 normal           Item=  73 addl=0
  (13, 3) type=1 normal           Item=  74 addl=0
  (14, 3) type=1 normal           Item=  75 addl=0
  (17, 3) type=1 normal           Item=  -1 addl=0
  (20, 3) type=1 normal           Item=  -1 addl=0
  (21, 3) type=1 normal           Item=  76 addl=0
  (22, 3) type=1 normal           Item=  77 addl=0
  (24, 3) type=1 normal           Item=  78 addl=0
  (25, 3) type=1 normal           Item=  -1 addl=0
  (26, 3) type=1 normal           Item=  -1 addl=0
  (27, 3) type=1 normal           Item=  -1 addl=0
  (28, 3) type=1 normal           Item=  -1 addl=0
  ( 7, 4) type=1 normal           Item=  -1 addl=0
  ( 8, 4) type=1 normal           Item=  79 addl=0
  ( 9, 4) type=1 normal           Item=  80 addl=0
  (10, 4) type=1 normal           Item=  81 addl=0
  (12, 4) type=7 pillar           Item=  37 addl=0
  (14, 4) type=1 normal           Item=  -1 addl=0
  (15, 4) type=1 normal           Item=  82 addl=0
  (16, 4) type=1 normal           Item=  -1 addl=0
  (20, 4) type=1 normal           Item=  83 addl=0
  (22, 4) type=1 normal           Item=  84 addl=0
  (23, 4) type=1 normal           Item=  85 addl=0
  (24, 4) type=1 normal           Item=  86 addl=0
  (28, 4) type=1 normal           Item=  87 addl=0
  (10, 5) type=1 normal           Item=  88 addl=0
  (14, 5) type=1 normal           Item=  89 addl=0
  (18, 5) type=1 normal           Item= 299 addl=0
  (19, 5) type=1 normal           Item=  -1 addl=0
  (20, 5) type=1 normal           Item=  90 addl=0
  (22, 5) type=1 normal           Item=  91 addl=0
  (24, 5) type=1 normal           Item=  -1 addl=0
  (26, 5) type=1 normal           Item= 302 addl=0
  (27, 5) type=1 normal           Item=  92 addl=0
  (28, 5) type=1 normal           Item=  -1 addl=0
  (29, 5) type=1 normal           Item=  -1 addl=0
  ( 4, 6) type=1 normal           Item=  93 addl=0
  ( 5, 6) type=1 normal           Item= 313 addl=0
  ( 7, 6) type=1 normal           Item= 312 addl=0
  ( 8, 6) type=1 normal           Item=  -1 addl=0
  (10, 6) type=1 normal           Item=  -1 addl=0
  (11, 6) type=1 normal           Item=  96 addl=0
  (12, 6) type=1 normal           Item=  97 addl=0
  (14, 6) type=1 normal           Item=  98 addl=0
  (15, 6) type=1 normal           Item=  99 addl=0
  (16, 6) type=1 normal           Item=  -1 addl=0
  (22, 6) type=1 normal           Item= 100 addl=0
  (24, 6) type=1 normal           Item= 101 addl=0
  (27, 6) type=1 normal           Item= 301 addl=0
  (29, 6) type=1 normal           Item=  -1 addl=0
  ( 4, 7) type=1 normal           Item= 103 addl=0
  ( 8, 7) type=1 normal           Item=  -1 addl=0
  (10, 7) type=1 normal           Item= 104 addl=0
  (12, 7) type=1 normal           Item= 105 addl=0
  (16, 7) type=1 normal           Item= 106 addl=0
  (19, 7) type=1 normal           Item= 107 addl=0
  (22, 7) type=1 normal           Item= 108 addl=0
  (24, 7) type=1 normal           Item=  -1 addl=0
  (25, 7) type=1 normal           Item= 300 addl=0
  (29, 7) type=1 normal           Item=  -1 addl=0
  ( 2, 8) type=1 normal           Item= 109 addl=0
  ( 3, 8) type=1 normal           Item= 110 addl=0
  ( 4, 8) type=1 normal           Item= 111 addl=0
  ( 5, 8) type=1 normal           Item= 112 addl=0
  ( 7, 8) type=1 normal           Item= 113 addl=0
  ( 8, 8) type=1 normal           Item= 114 addl=0
  ( 9, 8) type=1 normal           Item= 115 addl=0
  (10, 8) type=1 normal           Item= 116 addl=0
  (12, 8) type=1 normal           Item= 311 addl=0
  (14, 8) type=1 normal           Item= 307 addl=0
  (15, 8) type=1 normal           Item=  -1 addl=0
  (16, 8) type=1 normal           Item=  -1 addl=0
  (18, 8) type=1 normal           Item= 303 addl=0
  (19, 8) type=1 normal           Item= 120 addl=0
  (20, 8) type=1 normal           Item= 121 addl=0
  (22, 8) type=1 normal           Item=  -1 addl=0
  (28, 8) type=7 pillar           Item=  49 addl=0
  (30, 8) type=7 pillar           Item=   4 addl=0
  ( 2, 9) type=1 normal           Item= 314 addl=0
  ( 5, 9) type=1 normal           Item= 122 addl=0
  ( 7, 9) type=1 normal           Item=  -1 addl=0
  (10, 9) type=1 normal           Item=  -1 addl=0
  (16, 9) type=1 normal           Item=  -1 addl=0
  (20, 9) type=1 normal           Item= 123 addl=0
  (21, 9) type=1 normal           Item= 124 addl=0
  (22, 9) type=1 normal           Item= 125 addl=0
  (23, 9) type=1 normal           Item=  -1 addl=0
  (24, 9) type=1 normal           Item=  -1 addl=0
  (26, 9) type=1 normal           Item= 297 addl=0
  ( 4,10) type=1 normal           Item= 127 addl=0
  ( 5,10) type=1 normal           Item=  -1 addl=0
  ( 6,10) type=1 normal           Item= 128 addl=0
  ( 7,10) type=1 normal           Item= 129 addl=0
  ( 8,10) type=1 normal           Item= 130 addl=0
  (10,10) type=1 normal           Item= 131 addl=0
  (11,10) type=1 normal           Item= 132 addl=0
  (12,10) type=7 pillar           Item=  32 addl=0
  (15,10) type=1 normal           Item= 306 addl=0
  (16,10) type=1 normal           Item= 134 addl=0
  (17,10) type=1 normal           Item= 135 addl=0
  (18,10) type=1 normal           Item= 136 addl=0
  (20,10) type=1 normal           Item= 137 addl=0
  (22,10) type=7 pillar           Item=  38 addl=0
  (24,10) type=1 normal           Item= 138 addl=0
  (25,10) type=1 normal           Item= 139 addl=0
  (26,10) type=1 normal           Item= 140 addl=0
  (28,10) type=7 pillar           Item=   6 addl=0
  (30,10) type=7 pillar           Item=   1 addl=0
  ( 4,11) type=1 normal           Item=  -1 addl=0
  (11,11) type=1 normal           Item= 141 addl=0
  (16,11) type=1 normal           Item= 142 addl=0
  (18,11) type=1 normal           Item=  -1 addl=0
  (20,11) type=1 normal           Item= 143 addl=0
  (24,11) type=1 normal           Item= 144 addl=0
  ( 1,12) type=1 normal           Item= 145 addl=0
  ( 2,12) type=1 normal           Item= 146 addl=0
  ( 3,12) type=1 normal           Item=  -1 addl=0
  ( 4,12) type=1 normal           Item= 147 addl=0
  ( 5,12) type=1 normal           Item= 148 addl=0
  ( 7,12) type=1 normal           Item= 149 addl=0
  ( 8,12) type=1 normal           Item=  -1 addl=0
  ( 9,12) type=1 normal           Item= 316 addl=0
  (11,12) type=1 normal           Item= 150 addl=0
  (12,12) type=1 normal           Item= 151 addl=0
  (13,12) type=1 normal           Item= 152 addl=0
  (14,12) type=1 normal           Item=  -1 addl=0
  (15,12) type=1 normal           Item=  -1 addl=0
  (16,12) type=1 normal           Item=  -1 addl=0
  (18,12) type=1 normal           Item=  -1 addl=0
  (19,12) type=1 normal           Item= 153 addl=0
  (20,12) type=1 normal           Item= 154 addl=0
  (21,12) type=1 normal           Item=  -1 addl=0
  (24,12) type=1 normal           Item=  -1 addl=0
  (27,12) type=1 normal           Item=  -1 addl=0
  (28,12) type=1 normal           Item= 155 addl=0
  (29,12) type=1 normal           Item= 156 addl=0
  ( 1,13) type=1 normal           Item= 157 addl=0
  ( 5,13) type=1 normal           Item= 158 addl=0
  ( 7,13) type=1 normal           Item= 159 addl=0
  (11,13) type=1 normal           Item= 160 addl=0
  (13,13) type=1 normal           Item=  -1 addl=0
  (18,13) type=1 normal           Item= 161 addl=0
  (21,13) type=1 normal           Item= 162 addl=0
  (23,13) type=1 normal           Item= 296 addl=0
  (24,13) type=1 normal           Item=  -1 addl=0
  (25,13) type=1 normal           Item= 163 addl=0
  (27,13) type=1 normal           Item= 164 addl=0
  (29,13) type=1 normal           Item= 165 addl=0
  (30,13) type=1 normal           Item= 295 addl=0
  ( 1,14) type=1 normal           Item= 166 addl=0
  ( 2,14) type=1 normal           Item= 315 addl=0
  ( 4,14) type=1 normal           Item=  -1 addl=0
  ( 5,14) type=1 normal           Item=  -1 addl=0
  ( 6,14) type=1 normal           Item=  -1 addl=0
  ( 7,14) type=1 normal           Item= 167 addl=0
  ( 8,14) type=1 normal           Item=  -1 addl=0
  ( 9,14) type=1 normal           Item= 168 addl=0
  (11,14) type=1 normal           Item= 169 addl=0
  (16,14) type=1 normal           Item=  50 addl=0
  (17,14) type=1 normal           Item=  -1 addl=0
  (18,14) type=1 normal           Item=  -1 addl=0
  (20,14) type=1 normal           Item= 304 addl=0
  (21,14) type=1 normal           Item= 170 addl=0
  (25,14) type=1 normal           Item= 171 addl=0
  (27,14) type=1 normal           Item= 172 addl=0
  (29,14) type=1 normal           Item= 173 addl=0
  ( 4,15) type=1 normal           Item= 174 addl=0
  ( 9,15) type=1 normal           Item= 175 addl=0
  (11,15) type=1 normal           Item= 176 addl=0
  (12,15) type=1 normal           Item=  -1 addl=0
  (17,15) type=7 pillar           Item=  15 addl=0
  (21,15) type=1 normal           Item= 177 addl=0
  (24,15) type=7 pillar           Item=  41 addl=0
  (25,15) type=1 normal           Item=  42 addl=0
  (26,15) type=1 normal           Item=  -1 addl=0
  (27,15) type=1 normal           Item= 178 addl=0
  (29,15) type=1 normal           Item= 179 addl=0
  ( 3,16) type=1 normal           Item=  -1 addl=0
  ( 4,16) type=1 normal           Item= 180 addl=0
  ( 5,16) type=1 normal           Item= 181 addl=0
  ( 6,16) type=1 normal           Item=  -1 addl=0
  ( 7,16) type=1 normal           Item= 182 addl=0
  (12,16) type=1 normal           Item=  -1 addl=0
  (14,16) type=1 normal           Item= 326 addl=0
  (15,16) type=1 normal           Item= 184 addl=0
  (19,16) type=1 normal           Item= 185 addl=0
  (21,16) type=1 normal           Item=  -1 addl=0
  (22,16) type=1 normal           Item=  -1 addl=0
  (29,16) type=1 normal           Item= 186 addl=0
  ( 3,17) type=1 normal           Item= 187 addl=0
  ( 6,17) type=1 normal           Item= 188 addl=0
  ( 9,17) type=6 corpse           Item= 327 addl=10
  (10,17) type=1 normal           Item= 333 addl=0
  (12,17) type=1 normal           Item= 321 addl=0
  (14,17) type=1 normal           Item= 189 addl=0
  (15,17) type=1 normal           Item=  -1 addl=0
  (16,17) type=1 normal           Item=  -1 addl=0
  (17,17) type=1 normal           Item=  -1 addl=0
  (18,17) type=1 normal           Item=  -1 addl=0
  (19,17) type=1 normal           Item=  -1 addl=0
  (20,17) type=1 normal           Item= 190 addl=0
  (21,17) type=1 normal           Item= 191 addl=0
  (25,17) type=1 normal           Item=  -1 addl=0
  (26,17) type=1 normal           Item=  -1 addl=0
  (27,17) type=1 normal           Item= 192 addl=0
  (28,17) type=1 normal           Item=  -1 addl=0
  (29,17) type=1 normal           Item=  35 addl=0
  (30,17) type=7 pillar           Item=  34 addl=0
  ( 3,18) type=1 normal           Item= 317 addl=0
  ( 5,18) type=1 normal           Item=  -1 addl=0
